x,y_true,y_noisy
-2.0,-8.0,-7.900657169397753
-1.995995995995996,-7.856751342190838,-7.884404202425075
-1.991991991991992,-7.715284444162605,-7.5857467365424665
-1.987987987987988,-7.575585532735432,-7.270979561453827
-1.983983983983984,-7.437640896168796,-7.484471571113463
-1.97997997997998,-7.30143688403809,-7.348264275427926
-1.975975975975976,-7.166959907111083,-6.851117344009605
-1.971971971971972,-7.03419643722443,-6.880709491393848
-1.967967967967968,-6.903133007160208,-6.997027884347198
-1.9639639639639639,-6.77375621052237,-6.6652442018051765
-1.95995995995996,-6.646052701613307,-6.7387362401757995
-1.955955955955956,-6.520009195310285,-6.6131551460243365
-1.951951951951952,-6.395612466941993,-6.347220012628787
-1.947947947947948,-6.272849352165054,-6.6555054010966135
-1.9439439439439439,-6.151706746840494,-6.496690313343101
-1.93993993993994,-6.032171606910278,-6.144629112758473
-1.935935935935936,-5.914230948273778,-6.116797172340663
-1.931931931931932,-5.79787184666431,-5.735022380145256
-1.927927927927928,-5.683081437525634,-5.864686252629876
-1.9239239239239239,-5.569846915888435,-5.852307656155494
-1.91991991991992,-5.458155536246856,-5.165025782462545
-1.915915915915916,-5.347994612434968,-5.393149872532276
-1.911911911911912,-5.239351517503304,-5.225845876565719
-1.907907907907908,-5.132213683595361,-5.4171633208380525
-1.9039039039039038,-5.026568601824069,-5.135445146729105
-1.8998998998999,-4.922403822148347,-4.900219304206374
-1.8958958958958958,-4.819706953249551,-5.049905668734012
-1.8918918918918919,-4.718465662408042,-4.643326058738908
-1.887887887887888,-4.618667675379631,-4.738795413363392
-1.8838838838838838,-4.520300776272093,-4.578639526230748
-1.87987987987988,-4.423352807421722,-4.5436941298676015
-1.8758758758758758,-4.3278116692697575,-3.95735603236797
-1.8718718718718719,-4.233665320238962,-4.236364765186549
-1.867867867867868,-4.140901776610058,-4.352443962401239
-1.8638638638638638,-4.049509112398281,-3.8850001299776435
-1.85985985985986,-3.9594754592298713,-4.203644189224076
-1.8558558558558558,-3.870789006218552,-3.829016287217601
-1.8518518518518519,-3.7834379998420777,-4.175372024618033
-1.8478478478478477,-3.6974107438186934,-3.9630479535983794
-1.8438438438438438,-3.612695598983672,-3.5733233518098473
-1.83983983983984,-3.5292809831657976,-3.3815876671667153
-1.8358358358358358,-3.4471553710638725,-3.4128817148258785
-1.8318318318318318,-3.3663072941232413,-3.3894369506008895
-1.8278278278278277,-3.2867253404122536,-3.3469460795301114
-1.8238238238238238,-3.2083981544988216,-3.504102552572307
-1.8198198198198199,-3.131314437326864,-3.275283279005806
-1.8158158158158157,-3.0554629460928604,-3.147590700284818
-1.8118118118118118,-2.9808324941223345,-2.7694080488785513
-1.8078078078078077,-2.9074119507463436,-2.8386882928326513
-1.8038038038038038,-2.8351902411780134,-3.1877982722505602
-1.7997997997997999,-2.7641563463890186,-2.6993395525100596
-1.7957957957957957,-2.6942993029860896,-2.7713157590693527
-1.7917917917917918,-2.6256082030875225,-2.7609926031487144
-1.7877877877877877,-2.558072194199685,-2.4357369364315113
-1.7837837837837838,-2.491680479093512,-2.285480574594322
-1.7797797797797799,-2.426422315681016,-2.2401662918577765
-1.7757757757757757,-2.3622870168917744,-2.5301305215363024
-1.7717717717717718,-2.2992639505494656,-2.3611064257197087
-1.7677677677677677,-2.2373425392483455,-2.171089852967633
-1.7637637637637638,-2.176512260229755,-1.981403234805283
-1.7597597597597598,-2.116762645258639,-2.212597492827697
-1.7557557557557557,-2.058083280500022,-2.0952150758327854
-1.7517517517517518,-2.00046380639555,-2.221730801196756
-1.7477477477477477,-1.9438939175399632,-2.1831352423560975
-1.7437437437437437,-1.8883633625576035,-1.725858198078764
-1.7397397397397398,-1.8338619439789419,-1.5626139382647772
-1.7357357357357357,-1.7803795181170416,-1.7947815424331084
-1.7317317317317318,-1.7279059949441118,-1.527199415365707
-1.7277277277277276,-1.6764313379679674,-1.6041041329584407
-1.7237237237237237,-1.6259455641085552,-1.75496951502958
-1.7197197197197198,-1.5764387435744567,-1.5041596224727738
-1.7157157157157157,-1.5279009997393738,-1.22029368644618
-1.7117117117117118,-1.4803225090186674,-1.4874877168406577
-1.7077077077077076,-1.433693500745827,-1.1207647695830256
-1.7037037037037037,-1.3880042570489852,-1.9119532778669341
-1.6996996996996998,-1.3432451127274412,-1.1788646118523964
-1.6956956956956957,-1.2994064551281204,-1.2819970414804862
-1.6916916916916918,-1.256478724022137,-1.3162801941153104
-1.6876876876876876,-1.214452411481238,-1.1961002561741376
-1.6836836836836837,-1.1733180617543564,-1.5708318446745348
-1.6796796796796798,-1.1330662711440826,-1.177000648711585
-1.6756756756756757,-1.093687687883171,-1.0222651735808217
-1.6716716716716717,-1.055173012011072,-0.7595942030627688
-1.6676676676676676,-1.0175129952503994,-1.121167038905129
-1.6636636636636637,-0.980698440883458,-1.1423971614620956
-1.6596596596596598,-0.944720203628739,-1.0450716123456463
-1.6556556556556556,-0.9095691895174207,-0.7264887659770058
-1.6516516516516517,-0.8752363557698812,-0.8094861338379443
-1.6476476476476476,-0.8417127106721889,-0.9476647514255967
-1.6436436436436437,-0.808989313452626,-0.7063358268299548
-1.6396396396396398,-0.7770572741581709,-0.7576417642885629
-1.6356356356356356,-0.7459077535310117,-0.5521787554244338
-1.6316316316316315,-0.7155319628850574,-0.8559425816605278
-1.6276276276276276,-0.6859211639824299,-0.7514535933019835
-1.6236236236236237,-0.6570666689099713,-0.7354882995364029
